state_fips,avg_summer_temp,avg_summer_temp_rank,avg_summer_temp_percentile
22,81.1,1,0.979
48,81.1,1,0.979
12,81,3,0.959
40,79.6,4,0.938
28,79.5,5,0.918
5,78.8,6,0.897
13,78.7,7,0.877
1,78.6,8,0.857
45,78.4,9,0.836
4,78.1,10,0.816
20,76.4,11,0.795
37,75.7,12,0.775
47,75.6,13,0.755
29,75.4,14,0.734
21,74.5,15,0.714
10,74.2,16,0.693
6,73.4,17,0.653
17,73.4,17,0.653
24,73.3,19,0.632
51,73.2,20,0.612
18,72.4,21,0.591
15,72.2,22,0.551
34,72.2,22,0.551
31,71.8,24,0.53
19,71.6,25,0.51
35,71.4,26,0.489
39,70.9,27,0.469
54,70.2,28,0.448
46,69.9,29,0.428
49,69.6,30,0.408
9,69.2,31,0.387
32,69,32,0.367
44,68.8,33,0.346
42,68.6,34,0.326
25,68,35,0.306
27,66.8,36,0.265
55,66.8,36,0.265
38,66.6,38,0.244
36,66.5,39,0.224
26,66.2,40,0.204
33,65.5,41,0.183
8,65.2,42,0.163
50,65.1,43,0.142
30,64.2,44,0.122
53,63.8,45,0.102
16,63.7,46,0.04
23,63.7,46,0.04
41,63.7,46,0.04
56,63.5,49,0.02
2,52.3,50,0
