state_fips,avg_winter_temp,avg_winter_temp_rank,avg_winter_temp_percentile
15,67.4,1,1
12,59.4,2,0.979
22,50.9,3,0.959
48,47.9,4,0.938
13,47.8,5,0.918
28,46.7,6,0.897
1,46.5,7,0.877
6,46.2,8,0.857
45,46.1,9,0.836
4,43.6,10,0.816
37,42.1,11,0.795
5,41.5,12,0.775
40,39.1,13,0.734
47,39.1,13,0.734
51,36.8,15,0.714
10,36.1,16,0.673
35,36.1,16,0.673
21,35.9,18,0.653
24,34.7,19,0.632
41,34,20,0.612
34,33,21,0.571
53,33,21,0.571
54,32.8,23,0.551
29,32.3,24,0.53
32,32.2,25,0.51
20,31.9,26,0.489
44,31.4,27,0.469
39,29.5,28,0.448
18,29.4,29,0.428
9,28.5,30,0.408
42,28.4,31,0.387
17,28.3,32,0.367
49,28.2,33,0.346
25,27.4,34,0.326
8,25.8,35,0.306
31,25.7,36,0.285
16,25.4,37,0.265
36,23.3,38,0.244
19,21.7,39,0.204
26,21.7,39,0.204
30,21.2,41,0.163
56,21.2,41,0.163
33,21.1,43,0.142
46,19.5,44,0.122
50,19.4,45,0.102
55,17.2,46,0.081
23,16.8,47,0.061
27,12.4,48,0.04
38,12.2,49,0.02
2,2.6,50,0
