,county_fips,state_fips,county_name,state_name,combined_fips,combined_name,0,1,2,3,4,5
0,001,01,Autauga County,Alabama,01001,"Autauga County, Alabama",0,156,2353,2344,109,2331
1,003,01,Baldwin County,Alabama,01003,"Baldwin County, Alabama",1,104,2193,138,168,183
2,005,01,Barbour County,Alabama,01005,"Barbour County, Alabama",2,8,2318,2345,16,2352
3,007,01,Bibb County,Alabama,01007,"Bibb County, Alabama",3,19,1433,30,4,456
4,009,01,Blount County,Alabama,01009,"Blount County, Alabama",4,30,1433,1435,458,3
5,011,01,Bullock County,Alabama,01011,"Bullock County, Alabama",5,2186,124,2199,2172,129
6,013,01,Butler County,Alabama,01013,"Butler County, Alabama",6,151,2142,42,2330,152
7,015,01,Calhoun County,Alabama,01015,"Calhoun County, Alabama",7,34,2339,108,2317,2341
8,017,01,Chambers County,Alabama,01017,"Chambers County, Alabama",8,16,2345,2,2352,2318
9,019,01,Cherokee County,Alabama,01019,"Cherokee County, Alabama",9,441,66,529,1403,530
10,021,01,Chilton County,Alabama,01021,"Chilton County, Alabama",10,468,63,35,452,511
11,023,01,Choctaw County,Alabama,01023,"Choctaw County, Alabama",11,2177,102,505,2195,2348
12,025,01,Clarke County,Alabama,01025,"Clarke County, Alabama",12,45,61,99,2131,2321
13,027,01,Clay County,Alabama,01027,"Clay County, Alabama",13,1410,1420,1412,542,1419
14,029,01,Cleburne County,Alabama,01029,"Cleburne County, Alabama",14,447,503,46,28,2324
15,031,01,Coffee County,Alabama,01031,"Coffee County, Alabama",15,521,47,2331,487,38
16,033,01,Colbert County,Alabama,01033,"Colbert County, Alabama",16,8,2345,2,451,536
17,035,01,Conecuh County,Alabama,01035,"Conecuh County, Alabama",17,2686,481,504,33,37
18,037,01,Coosa County,Alabama,01037,"Coosa County, Alabama",18,525,2644,64,117,2143
19,039,01,Covington County,Alabama,01039,"Covington County, Alabama",19,3,1433,30,535,387
20,041,01,Crenshaw County,Alabama,01041,"Crenshaw County, Alabama",20,447,150,2324,14,517
21,043,01,Cullman County,Alabama,01043,"Cullman County, Alabama",21,1432,24,1415,400,49
22,045,01,Dale County,Alabama,01045,"Dale County, Alabama",22,426,1460,429,1401,38
23,047,01,Dallas County,Alabama,01047,"Dallas County, Alabama",23,2544,494,1427,97,51
24,049,01,DeKalb County,Alabama,01049,"DeKalb County, Alabama",24,21,2321,1432,400,1415
25,051,01,Elmore County,Alabama,01051,"Elmore County, Alabama",25,2344,2331,41,47,138
26,053,01,Escambia County,Alabama,01053,"Escambia County, Alabama",26,57,467,1440,1450,2359
27,055,01,Etowah County,Alabama,01055,"Etowah County, Alabama",27,38,54,1460,1401,22
28,057,01,Fayette County,Alabama,01057,"Fayette County, Alabama",28,39,516,46,503,484
29,059,01,Franklin County,Alabama,01059,"Franklin County, Alabama",29,2321,490,24,1415,1432
30,061,01,Geneva County,Alabama,01061,"Geneva County, Alabama",30,4,1433,1435,3,458
31,063,01,Greene County,Alabama,01063,"Greene County, Alabama",31,2165,2189,2161,167,2162
32,065,01,Hale County,Alabama,01065,"Hale County, Alabama",32,61,2316,452,35,2356
33,067,01,Henry County,Alabama,01067,"Henry County, Alabama",33,504,37,17,2686,529
34,069,01,Houston County,Alabama,01069,"Houston County, Alabama",34,7,108,2339,1475,494
35,071,01,Jackson County,Alabama,01071,"Jackson County, Alabama",35,452,10,63,32,19
36,073,01,Jefferson County,Alabama,01073,"Jefferson County, Alabama",36,106,2355,224,411,195
37,075,01,Lamar County,Alabama,01075,"Lamar County, Alabama",37,504,33,2686,1479,1419
38,077,01,Lauderdale County,Alabama,01077,"Lauderdale County, Alabama",38,27,54,1460,1401,15
39,079,01,Lawrence County,Alabama,01079,"Lawrence County, Alabama",39,28,46,516,484,1416
40,081,01,Lee County,Alabama,01081,"Lee County, Alabama",40,2361,2347,2357,1453,462
41,083,01,Limestone County,Alabama,01083,"Limestone County, Alabama",41,25,60,2350,482,2326
42,085,01,Lowndes County,Alabama,01085,"Lowndes County, Alabama",42,151,2142,2169,65,6
43,087,01,Macon County,Alabama,01087,"Macon County, Alabama",43,506,2192,109,2353,2166
44,089,01,Madison County,Alabama,01089,"Madison County, Alabama",44,2144,508,1425,412,50
45,091,01,Marengo County,Alabama,01091,"Marengo County, Alabama",45,2360,12,2155,490,29
46,093,01,Marion County,Alabama,01093,"Marion County, Alabama",46,28,39,516,503,14
47,095,01,Marshall County,Alabama,01095,"Marshall County, Alabama",47,15,2331,521,2344,25
48,097,01,Mobile County,Alabama,01097,"Mobile County, Alabama",48,442,414,2357,2347,2361
49,099,01,Monroe County,Alabama,01099,"Monroe County, Alabama",49,543,1415,405,1468,1432
50,101,01,Montgomery County,Alabama,01101,"Montgomery County, Alabama",50,182,442,2144,1425,412
51,103,01,Morgan County,Alabama,01103,"Morgan County, Alabama",51,522,1438,1475,1482,494
52,105,01,Perry County,Alabama,01105,"Perry County, Alabama",52,137,2136,134,96,2205
53,107,01,Pickens County,Alabama,01107,"Pickens County, Alabama",53,416,2162,2324,55,150
54,109,01,Pike County,Alabama,01109,"Pike County, Alabama",54,38,27,156,15,1460
55,111,01,Randolph County,Alabama,01111,"Randolph County, Alabama",55,484,516,28,39,1416
56,113,01,Russell County,Alabama,01113,"Russell County, Alabama",56,1430,108,515,1461,1444
57,115,01,St. Clair County,Alabama,01115,"St. Clair County, Alabama",57,26,1440,1450,467,2359
58,117,01,Shelby County,Alabama,01117,"Shelby County, Alabama",58,133,176,126,2323,1445
59,119,01,Sumter County,Alabama,01119,"Sumter County, Alabama",59,2199,129,2172,162,2149
60,121,01,Talladega County,Alabama,01121,"Talladega County, Alabama",60,2350,1426,41,2332,482
61,123,01,Tallapoosa County,Alabama,01123,"Tallapoosa County, Alabama",61,32,452,35,10,12
